闭环ID,层级路径,角色关系类型,主题,叙事结构线,波动型,波动说明,关系演化结局,结局释义,剧本数量,剧本ID列表,代表剧目列表,叙事平均曲线,关系强度平均曲线,主题匹配均值,关系匹配均值,是否虚拟聚合,数据来源说明
loop-000,亲属关系>家庭亲情>平稳型>平稳-循环回归>亲缘团圆,亲属关系,家庭亲情,平稳型,平稳-循环回归,离散后回到原有伦理/秩序位置,亲缘团圆,失散或隔阂的亲属重新确认并团聚,18,02012045; 03061002; 70202103; 03022003; 70203103; 02012036; 02009020; 03030001; 02012037; 01030001; 01040005; 03016004; 13003007; 70902103; 01031002; 02005008; 03057008; 04014003,弓砚缘【九本】；元宵谜；鸳鸯冢；古押衙；元宵谜；东昌府【三本】；路遥知马力；雁门关【头本】,"[2.8,3,3.3,3.6,3.2,2.9,3.1,3.4,3.2,2.9]","[3,3.2,3.5,3.7,3.1,2.8,3,3.3,3.1,3]",75.5,75.28,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-001,亲属关系>家庭亲情>前锋型>前锋-先决裂后修补>代际和解,亲属关系,家庭亲情,前锋型,前锋-先决裂后修补,开局关系破裂，中后段修复或重排,代际和解,父子、母子、翁媳等伦理矛盾被调停,25,03030001; 02012037; 01030001; 01040005; 03016004; 13003007; 70902103; 01031002; 02005008; 03057008; 04014003; 70402101; 70904207; 90000007; 01011009; 01028006; 02005009; 02012043; 03030006; 70203102; 01003014; 01005010; 02012044; 70203108; 01039001,雁门关【头本】；弓砚缘【头本】；黛玉焚稿；万花船；白龙关；二度梅·舟配；西游记·认子；牢狱鸳鸯【头、二本】,"[7.6,6.9,5.8,4.5,3.2,2.8,3,3.5,4.2,5]","[7.2,6.5,5.4,4.2,3,2.6,3.2,3.9,4.8,5.6]",71.44,71.12,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-002,亲属关系>家庭亲情>后峰型>后峰-终局和解>亲情牺牲,亲属关系,家庭亲情,后峰型,后峰-终局和解,结尾以团圆、赦免或认亲消解冲突,亲情牺牲,亲属一方以牺牲保全家国或家族,20,01031002; 02005008; 03057008; 04014003; 70402101; 70904207; 90000007; 01011009; 01028006; 02005009; 02012043; 03030006; 70203102; 01003014; 01005010; 02012044; 70203108; 01039001; 01027002; 03030005,牢狱鸳鸯【头、二本】；九莲灯【三本】；黛玉焚稿；艳阳楼；铡判官；西游记·认子；花木兰；拿高登,"[2.8,3.1,3.4,4,4.8,5.6,6.2,5,3.8,2.6]","[3,3.3,3.6,4.1,4.7,5.3,5.8,5,4.2,5.6]",70.5,70.3,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-003,亲属关系>礼教品格>平稳型>平稳-低振守常>代际和解,亲属关系,礼教品格,平稳型,平稳-低振守常,低幅波动，关系秩序基本维持,代际和解,父子、母子、翁媳等伦理矛盾被调停,22,01018002; 01011009; 70203103; 14001006; 01030009; 05004001; 03103001; 02012044; 01010005; 02008009; 01033004; 01028003; 70005118; 01040005; 01002010; 02009020; 01023001; 02005009; 70202106; 70203102; 02012036; 03022003,孝妇羹；拿高登；元宵谜；三娘教子；贾政训子；专母训子；十老安刘；弓砚缘【八本】,"[3,3.1,3,3.2,3.1,3.2,3.1,3.2,3.1,3.2]","[3.2,3.1,3.1,3,3.2,3.1,3.2,3.1,3.2,3.1]",24.64,65.5,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-004,亲属关系>礼教品格>中峰型>中峰-中段伦理压迫>亲情牺牲,亲属关系,礼教品格,中峰型,中峰-中段伦理压迫,中段礼法、家法或身份约束达到峰值,亲情牺牲,亲属一方以牺牲保全家国或家族,22,02012044; 01010005; 02008009; 01033004; 01028003; 70005118; 01040005; 01002010; 02009020; 01023001; 02005009; 70202106; 70203102; 02012036; 03022003; 01020004; 70202108; 01015006; 70202103; 04009002; 02002035; 02012037,弓砚缘【八本】；忠孝牌；双尽忠【三本】；贺后骂殿；行路哭灵；孝妇羹；万花船；钓金龟,"[3,3.6,4.5,5.9,7,6.2,4.6,3.7,3.1,3.4]","[3.2,3.8,4.6,5.6,6.5,5.9,4.7,3.9,3.4,3.5]",22.41,64.82,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-005,亲属关系>礼教品格>后峰型>后峰-迟来显义>宗族复位,亲属关系,礼教品格,后峰型,后峰-迟来显义,忠义/真相到后段才被确认,宗族复位,家门名分、谱系或继承秩序恢复,15,01002010; 02009020; 01023001; 02005009; 70202106; 70203102; 02012036; 03022003; 01020004; 70202108; 01015006; 70202103; 04009002; 02002035; 02012037,钓金龟；路遥知马力；宏碧缘【头本】；九莲灯【四本】；碧玉簪；辛安驿；东昌府【三本】；古押衙,"[2.1,2.3,2.5,2.9,3.4,4.1,5,6.4,7.8,8.5]","[2.4,2.5,2.8,3.2,3.8,4.5,5.6,6.7,7.5,8.1]",20.33,65.8,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-006,亲属关系>忠义家国>后峰型>后峰-迟来显义>亲情牺牲,亲属关系,忠义家国,后峰型,后峰-迟来显义,忠义/真相到后段才被确认,亲情牺牲,亲属一方以牺牲保全家国或家族,24,02005009; 02002035; 14001005; 02009020; 01025008; 03103001; 02012036; 01033004; 70202108; 02008007; 70203108; 03061002; 03030006; 80000023; 02005007; 70203102; 70202103; 01011009; 02008008; 03003001; 70002103; 70203103; 03022003; 03030005,九莲灯【四本】；汉忠烈【四本】；丁甲山；路遥知马力；刘秀走国；十老安刘；东昌府【三本】；贺后骂殿,"[2.1,2.3,2.5,2.9,3.4,4.1,5,6.4,7.8,8.5]","[2.4,2.5,2.8,3.2,3.8,4.5,5.6,6.7,7.5,8.1]",18.92,64.21,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-007,亲属关系>忠义家国>后峰型>后峰-压轴报偿>宗族复位,亲属关系,忠义家国,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,宗族复位,家门名分、谱系或继承秩序恢复,17,01033004; 70202108; 02008007; 70203108; 03061002; 03030006; 80000023; 02005007; 70203102; 70202103; 01011009; 02008008; 03003001; 70002103; 70203103; 03022003; 03030005,贺后骂殿；仇痕记；双尽忠【头本】；勘玉钏；元宵谜；雁门关【六本】；桃花村；九莲灯【二本】,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",18.47,63.71,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-008,亲属关系>忠义家国>多峰型>多峰-连战递进>名节昭彰,亲属关系,忠义家国,多峰型,多峰-连战递进,多场战斗/交锋递进形成多峰,名节昭彰,忠孝节义等品格得到公开确认,23,02008009; 03030001; 02012045; 02008010; 03016004; 04014003; 01014006; 90000007; 02005009; 02002035; 14001005; 02009020; 01025008; 03103001; 02012036; 01033004; 70202108; 02008007; 70203108; 03061002; 03030006; 80000023; 02005007,双尽忠【三本】；雁门关【头本】；弓砚缘【九本】；双尽忠【四本】；白龙关；艳阳楼；丁甲山；花木兰,"[3.4,5,4.1,6,4.8,7.1,5.2,7.8,6,8.5]","[3.8,5.2,4.4,5.8,5,6.8,5.5,7.4,6.2,8]",21.26,65.52,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-009,亲属关系>恩怨报偿>多峰型>多峰-恩怨反复>宗族复位,亲属关系,恩怨报偿,多峰型,多峰-恩怨反复,报恩、报仇、追偿交替出现,宗族复位,家门名分、谱系或继承秩序恢复,19,70006101; 01030001; 70203102; 03057008; 04008002; 03030001; 01039005; 02012035; 02009020; 01011003; 05013003; 70202103; 01039001; 05013004; 01012004; 01040005; 70203103; 90000007; 02005015,搜孤救孤；黛玉焚稿；辛安驿；黛玉焚稿；十三妹；雁门关【头本】；戏姻缘；东昌府【二本】,"[3.2,5.4,3.6,6.2,4,5.8,4.2,6.8,4.5,7.2]","[3.5,5.2,3.8,6,4.4,5.5,4.5,6.4,4.8,6.8]",19.58,65.74,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
