字段类型,字段值,上级字段,说明
角色关系类型,亲属关系,,限定6类关系之一；下挂主题：家庭亲情、礼教品格、忠义家国、恩怨报偿
角色关系类型,婚恋关系,,限定6类关系之一；下挂主题：婚恋姻缘、家庭亲情、礼教品格、文人世情
角色关系类型,权力关系,,限定6类关系之一；下挂主题：政治权力、忠义家国、战争武略、公案冤狱
角色关系类型,同盟关系,,限定6类关系之一；下挂主题：忠义家国、战争武略、除暴侠义、政治权力
角色关系类型,冲突关系,,限定6类关系之一；下挂主题：战争武略、除暴侠义、恩怨报偿、善恶转化
角色关系类型,审判与恩怨关系,,限定6类关系之一；下挂主题：公案冤狱、恩怨报偿、善恶转化、宗教祥瑞
主题,忠义家国,多关系复用,限定12类主题之一；推荐波动：后峰-迟来显义、后峰-压轴报偿、多峰-连战递进
主题,政治权力,多关系复用,限定12类主题之一；推荐波动：前锋-开端突发、中峰-中段计谋、后峰-末端清算
主题,婚恋姻缘,多关系复用,限定12类主题之一；推荐波动：中峰-中段离合、后峰-终局和解、多峰-离合循环
主题,家庭亲情,多关系复用,限定12类主题之一；推荐波动：平稳-循环回归、前锋-先决裂后修补、后峰-终局和解
主题,公案冤狱,多关系复用,限定12类主题之一；推荐波动：中峰-中段审判、多峰-审断反复、后峰-末端清算
主题,除暴侠义,多关系复用,限定12类主题之一；推荐波动：前锋-早峰回落、中峰-中段征战、后峰-压轴报偿
主题,战争武略,多关系复用,限定12类主题之一；推荐波动：多峰-连战递进、中峰-中段征战、后峰-结尾爆发
主题,恩怨报偿,多关系复用,限定12类主题之一；推荐波动：多峰-恩怨反复、后峰-压轴报偿、后峰-末端清算
主题,善恶转化,多关系复用,限定12类主题之一；推荐波动：中峰-中段悟转、后峰-后段反转、平稳-余波消解
主题,礼教品格,多关系复用,限定12类主题之一；推荐波动：平稳-低振守常、中峰-中段伦理压迫、后峰-迟来显义
主题,宗教祥瑞,多关系复用,限定12类主题之一；推荐波动：平稳-缓升互认、中峰-中段悟转、后峰-压轴报偿
主题,文人世情,多关系复用,限定12类主题之一；推荐波动：平稳-中段微折、前锋-先误判后澄清、多峰-连环误会
叙事波动型,平稳-低振守常,平稳型,低幅波动，关系秩序基本维持
叙事波动型,平稳-缓升互认,平稳型,冲突弱，信任或伦理认同缓慢上升
叙事波动型,平稳-缓降疏离,平稳型,关系缓慢冷却或身份距离扩大
叙事波动型,平稳-中段微折,平稳型,中段出现轻微阻滞但不改变主线
叙事波动型,平稳-循环回归,平稳型,离散后回到原有伦理/秩序位置
叙事波动型,平稳-余波消解,平稳型,末段以解释、规训或安顿消解余波
叙事波动型,前锋-开端突发,前锋型,开端即爆发危机，后续处理后果
叙事波动型,前锋-早峰回落,前锋型,前段强冲突后逐步回落
叙事波动型,前锋-先决裂后修补,前锋型,开局关系破裂，中后段修复或重排
叙事波动型,前锋-先误判后澄清,前锋型,早期误会/错判制造峰值，随后辨明
叙事波动型,前锋-早战后和,前锋型,前段对抗强，中后段转入议和/归顺
叙事波动型,前锋-前峰双折,前锋型,前段连续两次起落，后段趋稳
