剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,网络节点数,网络边数估计,二值网络密度,平均边权,最大边权,发言轮次,场次数,角色数,角色列表,页数,字符数,文件路径,主角色关系,角色关系集合,主主题,主题集合,闭环ID集合,叙事结构线集合,波动型集合,关系演化结局集合,主闭环ID,主叙事结构线,主波动型,主关系演化结局,公案戏得分,家庭戏得分,江湖戏得分,历史戏得分,神怪戏得分,网络计算方法,数据说明
01001001,空城计,历史戏,27.99,0.2195,0.5548,12,32,0.4848,0.4526,0.9728,104,6,12,诸葛亮；司马懿；司马师；司马昭；赵云；老军甲；老军乙；旗牌；童儿；报子；二老军；众人,5,5518,01000000/01001001_空城计.pdf,冲突关系,冲突关系|权力关系|亲属关系,战争武略,战争武略|家庭亲情|政治权力|恩怨报偿|善恶转化,loop-048|loop-049|loop-054|loop-055|loop-058|loop-030|loop-024|loop-000,多峰型|中峰型|后峰型|前锋型|平稳型,多峰-连战递进|中峰-中段征战|多峰-恩怨反复|后峰-压轴报偿|后峰-后段反转|前锋-开端突发|平稳-循环回归,敌对消灭|敌对和解|复仇完成|阵营转投|善恶翻转|主从归顺|君臣尽忠|亲缘团圆,loop-048,多峰型,多峰-连战递进,敌对消灭,0,15,2,89,7,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001002,洪羊洞,历史戏,29.83,0.18,0.3845,11,23,0.4182,0.4304,0.9775,152,10,11,杨延昭；孟良；焦赞；程宣；赵德芳；杨继业；杨宗保；佘太君；柴夫人；家院；大太监,8,9203,01000000/01001002_洪羊洞.pdf,亲属关系,亲属关系|权力关系|同盟关系,家庭亲情,家庭亲情|战争武略|政治权力|除暴侠义|恩怨报偿,loop-000|loop-001|loop-009|loop-010|loop-032|loop-026|loop-039|loop-047,平稳型|前锋型|多峰型|后峰型,平稳-循环回归|前锋-先决裂后修补|多峰-恩怨反复|后峰-压轴报偿|后峰-结尾爆发|后峰-末端清算|多峰-连战递进,亲缘团圆|代际和解|宗族复位|名节昭彰|功名显达|主从归顺|同盟破裂|结义同心,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,25,14,54,14,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001003,三娘教子,家庭戏,24.17,0.6026,0.0975,3,3,1.0,0.6026,0.6429,120,1,3,王春娥；薛保；薛倚哥,5,6472,01000000/01001003_三娘教子.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|礼教品格|恩怨报偿|忠义家国,loop-000|loop-001|loop-003|loop-004|loop-010,平稳型|前锋型|中峰型|后峰型,平稳-循环回归|前锋-先决裂后修补|平稳-低振守常|中峰-中段伦理压迫|后峰-压轴报偿,亲缘团圆|代际和解|亲情牺牲|名节昭彰,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,119,1,32,4,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001004,乌盆计【后本】,公案戏,27.76,0.3325,0.5201,5,8,0.8,0.4156,0.8407,232,2,5,刘世昌；张别古；赵大；包拯；二衙役,8,9684,01000000/01001004_乌盆计【后本】.pdf,亲属关系,亲属关系|审判与恩怨关系|权力关系,公案冤狱,公案冤狱|战争武略|家庭亲情|恩怨报偿|政治权力,loop-000|loop-001|loop-011|loop-009|loop-060|loop-063|loop-034|loop-032,平稳型|前锋型|后峰型|多峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|后峰-末端清算|多峰-恩怨反复|中峰-中段审判|多峰-审断反复|后峰-结尾爆发,亲缘团圆|代际和解|宗族复位|冤案昭雪|恶人受惩|功名显达,loop-060,中峰型,中峰-中段审判,冤案昭雪,96,17,0,31,18,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001005,打鼓骂曹,历史戏,30.24,0.2523,0.3314,11,26,0.4727,0.5336,1.0,164,4,11,祢衡；曹操；张辽；孔融；朝官甲；朝官乙；朝官丙；朝官丁；四朝官；旗牌；二旗牌,8,9736,01000000/01001005_打鼓骂曹.pdf,权力关系,权力关系|冲突关系|亲属关系,政治权力,政治权力|战争武略|礼教品格|家庭亲情|除暴侠义,loop-026|loop-024|loop-032|loop-030|loop-049|loop-053|loop-005|loop-000,后峰型|前锋型|多峰型|中峰型|平稳型,后峰-末端清算|前锋-开端突发|后峰-结尾爆发|多峰-连战递进|中峰-中段征战|后峰-压轴报偿|后峰-迟来显义|平稳-循环回归,主从归顺|君臣尽忠|功名显达|敌对和解|阵营转投|宗族复位|亲缘团圆,loop-026,后峰型,后峰-末端清算,主从归顺,0,11,24,59,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001006,捉放曹,历史戏,31.07,0.2104,0.4932,10,20,0.4444,0.4735,1.0,211,4,10,陈宫；曹操；吕伯奢；班头甲；班头乙；店家；四青袍；门子；童儿；家人,10,12571,01000000/01001006_捉放曹.pdf,权力关系,权力关系|亲属关系|同盟关系,家庭亲情,家庭亲情|政治权力|战争武略|礼教品格|公案冤狱,loop-024|loop-025|loop-031|loop-032|loop-034|loop-000|loop-004|loop-046,前锋型|中峰型|后峰型|多峰型|平稳型,前锋-开端突发|中峰-中段计谋|中峰-中段征战|后峰-结尾爆发|多峰-审断反复|平稳-循环回归|中峰-中段伦理压迫,君臣尽忠|权力更替|权谋败露|功名显达|亲缘团圆|亲情牺牲,loop-000,平稳型,平稳-循环回归,亲缘团圆,15,40,11,50,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001007,桑园寄子,家庭戏,27.26,0.2403,0.4526,7,11,0.5238,0.4588,0.9583,148,5,7,邓伯道；金氏；二家院；邓元；邓方；众家丁；番王,7,8067,01000000/01001007_桑园寄子.pdf,亲属关系,亲属关系|同盟关系,家庭亲情,家庭亲情|战争武略|恩怨报偿|政治权力|礼教品格,loop-002|loop-000|loop-010|loop-011|loop-003|loop-041|loop-046,后峰型|平稳型|中峰型,后峰-终局和解|平稳-循环回归|后峰-压轴报偿|后峰-末端清算|平稳-低振守常|后峰-结尾爆发|中峰-中段计谋,亲情牺牲|亲缘团圆|名节昭彰|代际和解|阵营转投|君臣尽忠,loop-002,后峰型,后峰-终局和解,亲情牺牲,1,101,1,34,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001008,取成都,历史戏,30.3,0.2271,0.5806,13,41,0.5256,0.432,1.0,125,5,13,刘璋；刘玉；王累；刘备；诸葛亮；探子；马超；众人；四白龙套；魏延；赵云；黄忠；严颜,7,7691,01000000/01001008_取成都.pdf,权力关系,权力关系|亲属关系|冲突关系,战争武略,战争武略|家庭亲情|政治权力|善恶转化|礼教品格,loop-031|loop-032|loop-026|loop-024|loop-002|loop-003|loop-048|loop-059,中峰型|后峰型|前锋型|平稳型|多峰型,中峰-中段征战|后峰-结尾爆发|后峰-末端清算|前锋-开端突发|后峰-终局和解|平稳-低振守常|多峰-连战递进|平稳-余波消解,权谋败露|功名显达|主从归顺|君臣尽忠|亲情牺牲|代际和解|敌对消灭,loop-031,中峰型,中峰-中段征战,权谋败露,1,25,0,77,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001009,硃砂痣,家庭戏,29.26,0.1966,0.2895,8,12,0.4286,0.4586,0.9224,206,6,8,韩廷凤；吴惠泉；江氏；金氏；媒婆；韩遇运；丫鬟；家院,9,10485,01000000/01001009_硃砂痣.pdf,亲属关系,亲属关系|婚恋关系|同盟关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格|文人世情|婚恋姻缘,loop-001|loop-002|loop-009|loop-010|loop-003|loop-015|loop-019|loop-022,前锋型|后峰型|多峰型|平稳型|中峰型,前锋-先决裂后修补|后峰-终局和解|多峰-恩怨反复|后峰-压轴报偿|平稳-低振守常|平稳-循环回归|中峰-中段伦理压迫|前锋-先误判后澄清,代际和解|亲情牺牲|宗族复位|名节昭彰|婚恋错失|贞节守义|礼法压服,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,90,0,27,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001010,黄金台,历史戏,27.05,0.2375,0.5569,9,20,0.5556,0.4276,1.0,154,2,9,田单；伊立；田法章；乳娘；衙役甲；衙役乙；二衙役；家院；四校尉,5,5657,01000000/01001010_黄金台.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|家庭亲情|战争武略|恩怨报偿|公案冤狱,loop-024|loop-025|loop-030|loop-031|loop-033|loop-002|loop-011,前锋型|中峰型|多峰型|后峰型,前锋-开端突发|中峰-中段计谋|多峰-连战递进|中峰-中段征战|中峰-中段审判|后峰-终局和解|后峰-末端清算,君臣尽忠|权力更替|主从归顺|权谋败露|亲情牺牲|亲缘团圆,loop-024,前锋型,前锋-开端突发,君臣尽忠,0,30,0,48,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
