剧本id,剧本名,阶段类型,起始事件/场次,结束事件/场次,关键事件摘要,节奏变化
01001001,空城计,开端,第一场,第一场,诸葛亮准备空城计,文戏铺垫
01001001,空城计,发展,第二场,第三场,司马懿犹豫不决,文武交替
01001001,空城计,高潮,第四场,第五场,司马懿决定是否进攻,武戏紧张
01001001,空城计,结局,第六场,第六场,司马懿撤退，诸葛亮胜利,文戏收尾
01001002,洪羊洞,开端,第一场,第一场,主角登场，初步设定背景,文戏铺垫
01001002,洪羊洞,发展,第二场,第六场,多角色互动，情节逐步展开,文武交替
01001002,洪羊洞,高潮,第七场,第九场,激烈冲突，剧情转折,武戏为主
01001002,洪羊洞,结局,第十场,第十场,大场面收尾，剧情完结,文戏收束
01001003,三娘教子,高潮,第一场(自动推断),第一场(自动推断),剧情推进,平缓过渡
01001004,乌盆计,开端,第一场,第一场,主要人物和背景设定,文戏铺垫
01001004,乌盆计,结局,第二场,第二场,剧情推进,平缓过渡
01001005,打鼓骂曹,开端,第一场,第一场,曹操与祢衡首次冲突,文戏铺垫
01001005,打鼓骂曹,发展,第二场,第三场,祢衡通过击鼓骂曹加剧矛盾,文武交替
01001005,打鼓骂曹,高潮,第四场,第四场,曹操决定对祢衡采取行动,武戏紧张
07002001,渡阴平,开端,第一场,第一场,角色互动，初步设定剧情背景,文戏铺垫
07002001,渡阴平,发展,第二场,第八场,角色间对话深入，情节推进,文武交替
07002001,渡阴平,高潮,第九场,第十七场,角色间对话，剧情达到紧张点,紧张对话
07002001,渡阴平,结局,第十八场,第十八场,角色间对话，剧情走向结束,平静收尾
07004002,霸王遇虞姬,开端,第一场,第一场,角色初次互动，奠定基调,文戏铺垫
07004002,霸王遇虞姬,发展,第二场,第十二场,剧情逐步展开，关系逐渐明朗,文武交替
07004002,霸王遇虞姬,高潮,第十三场,第二十二场,冲突集中爆发，关系走向明确,紧张激烈
